RID,GroupAssignment,Age_Yrs,Year_of_Study,Live_Pets,Consumer_BARK,Stage,PANAS_PA,SHS,SCS,Engagement,FS,Stress,Homesick,Lonely,PANAS_NA
33,Indirect,20,2,1,1,pre,3.4,1.6666666666666667,3.95,4,5.5,5,1,2.1,2.8
33,Indirect,20,2,1,1,post,4.4,2.3333333333333335,4.85,3,6,3,1,1.55,1.2
34,Control,18,1,2,2,pre,3.4,2.6666666666666665,4.7,3,4.875,2,4,2.05,2.8
34,Control,18,1,2,2,post,3.2,2.6666666666666665,4.45,3,4.5,2,3,1.9,3
35,Direct,18,1,2,1,pre,2.6,2.6666666666666665,4.65,2,5.875,2,1,1.8,1.6
35,Direct,18,1,2,1,post,2.6,2.6666666666666665,5,2,5.875,1,1,1.4,1
36,Indirect,18,1,2,1,pre,3,3.6666666666666665,4.25,2,4.625,3,1,2.15,1.6
36,Indirect,18,1,2,1,post,3,4.666666666666667,4.35,2,4.375,2,1,2.05,1.2
37,Control,20,3,2,1,pre,2.8,3,3.35,4,6.25,4,4,2.95,1.8
37,Control,20,3,2,1,post,2.8,3.3333333333333335,3.9,4,6.25,3,4,2.8,1.2
38,Direct,18,1,2,1,pre,4.2,2.6666666666666665,4.45,4,5.5,3,1,1.95,2
38,Direct,18,1,2,1,post,4.2,3.3333333333333335,4.45,3,5.25,2,1,1.9,1.2
39,Indirect,20,3,2,1,pre,2.2,5,5.2,3,6.125,2,1,1.5263157894736843,1.2
39,Indirect,20,3,2,1,post,2,5,5.05,3,6.125,2,1,1.55,1
40,Control,17,1,2,1,pre,3,3.3333333333333335,4.15,4,6.375,4,1,2.45,1
40,Control,17,1,2,1,post,3.4,3,4,5,5.625,3,1,2.45,1
41,Direct,18,1,2,1,pre,2.6,2.6666666666666665,4.55,2,4.875,4,2,1.9,1.4
41,Direct,18,1,2,1,post,3.2,3.3333333333333335,4.75,2,5.125,3,1,1.65,1
42,Indirect,21,2,2,1,pre,3,1.3333333333333333,3.45,3,4.5,4,4,1.9,2.6
42,Indirect,21,2,2,1,post,2.4,1.3333333333333333,3.6842105263157894,3,5,3,4,2,1.4
43,Control,19,2,2,1,pre,1.8,2.6666666666666665,5.05,3,5.375,4,1,1.65,1.6
43,Control,19,2,2,1,post,1.4,3,5.1,3,5,4,1,1.75,1.2
44,Direct,21,2,1,1,pre,2.6,3.6666666666666665,4.1,3,5.142857142857143,4,1,2.45,3.2
44,Direct,21,2,1,1,post,2.2,3.6666666666666665,4.1,NA,5.125,3,1,2.15,2.2
45,Indirect,19,2,1,1,pre,3.5,3,5.2,5,5.5,4,1,1.7,1.2
45,Indirect,19,2,1,1,post,3.2,3.3333333333333335,5.1,5,5.5,3,1,1.5,1.2
46,Control,19,1,2,1,pre,2.6,2.3333333333333335,3.3,3,4.25,4,2,2.4,2.4
46,Control,19,1,2,1,post,2.6,2.3333333333333335,3.2,3,4.25,4,2,2.75,2.4
47,Direct,19,2,2,1,pre,3,1.3333333333333333,1.8,4,3.375,4,4,3.35,3.2
47,Direct,19,2,2,1,post,2.8,2.3333333333333335,2.8,3,2.75,2,4,3.1,1.4
48,Indirect,22,2,1,1,pre,3.2,4,3.2,4,5.75,3,1,2.4,2.6
48,Indirect,22,2,1,1,post,3.2,3.3333333333333335,3.3157894736842106,4,6.125,4,1,2.45,2
49,Control,20,2,1,1,pre,2.8,2.6666666666666665,3.65,5,5.25,2,2,2.6,3.6
49,Control,20,2,1,1,post,2,2.6666666666666665,3.35,5,5.25,2,2,2.6,2.6
50,Direct,19,1,2,1,pre,4.2,4.666666666666667,5.2,1,6.875,1,3,1.8,1.8
50,Direct,19,1,2,1,post,3.6,4.666666666666667,5.25,1,7,1,1,1.6,1.4
51,Indirect,20,1,2,1,pre,3.2,3.6666666666666665,3.8,3,5.25,5,4,2.5,3.2
51,Indirect,20,1,2,1,post,3.8,4,4.55,3,5.75,1,2,2.05,1.75
52,Control,19,1,2,1,pre,2.8,3.3333333333333335,3.85,2,5,2,3,2.6,2
52,Control,19,1,2,1,post,2.6,3.6666666666666665,3.45,2,4.875,2,3,2.85,1.6
53,Direct,19,2,2,1,pre,2.2,1.3333333333333333,3.65,2,4.25,4,4,2.5789473684210527,3.2
53,Direct,19,2,2,1,post,2,2,4.15,1,4.375,2,3,2,1.6
54,Indirect,22,4,2,1,pre,3.4,2,4.95,2,5.75,5,2,1.7,3.2
54,Indirect,22,4,2,1,post,3.4,2,4.85,2,5.5,5,2,2.2,3.2
55,Control,19,2,2,3,pre,3.6,3.6666666666666665,5.3,1,6.125,3,3,1.5,1.2
55,Control,19,2,2,3,post,3.6,3.6666666666666665,5.45,1,6.125,2,3,1.4,1
56,Direct,20,1,2,1,pre,3.6,3.6666666666666665,4.9,3,6,3,5,2.2,1.2
56,Direct,20,1,2,1,post,4.4,4,5,3,6.25,1,3,2,1
57,Indirect,20,3,2,1,pre,3.4,2.6666666666666665,3.05,3,4.5,3,2,2.9,2.8
57,Indirect,20,3,2,1,post,3.4,2.6666666666666665,3.35,3,4.5,2,2,2.6842105263157894,2.4
