RID,GroupAssignment,Age_Yrs,Year_of_Study,Live_Pets,Consumer_BARK,Stage,PANAS_PA,SHS,SCS,Engagement,FS,Stress,Homesick,Lonely,PANAS_NA
136,Control,18,1,2,1,pre,3.4,1.3333333333333333,3.75,2,4.25,3,1,2.45,2.4
136,Control,18,1,2,1,post,2.8,1.6666666666666667,3.7,3,3.5,3,1,2.7,1.2
137,Direct,22,3,NA,3,pre,3.6,3.6666666666666665,4.45,4,6,2,2,2.5,2.8
137,Direct,22,3,NA,3,post,4.2,4,4.85,4,5.875,2,4,2.25,2
138,Indirect,20,3,2,1,pre,3.6,2,3.05,4,4.875,3,3,3,1.6
138,Indirect,20,3,2,1,post,3.6,2,2.75,4,4.875,3,2,3.05,1.6
139,Control,19,2,2,2,pre,3.4,3.6666666666666665,5,2,6,3,4,1.95,1.2
139,Control,19,2,2,2,post,4,3.6666666666666665,5.2,2,6.125,2,2,1.5789473684210527,1
140,Direct,20,2,1,2,pre,1.2,2.6666666666666665,3,3,5.375,5,1,3.05,4
140,Direct,20,2,1,2,post,2.4,3.6666666666666665,5.2,3,6.625,1,1,1.9,1
141,Indirect,18,1,2,1,pre,3.6,4.333333333333333,4.5,2,6.375,3,4,2.2,2
141,Indirect,18,1,2,1,post,3.4,4,4.95,2,6,4,4,2,2
142,Control,18,1,2,1,pre,1.4,3.3333333333333335,4.45,3,5.375,5,4,2.263157894736842,2.8
142,Control,18,1,2,1,post,3,2.6666666666666665,4.55,2,5.375,4,3,1.95,1.8
143,Direct,20,2,2,1,pre,2.8,2.3333333333333335,4.6,3,5.125,2,2,1.65,2.6
143,Direct,20,2,2,1,post,2.6,2.3333333333333335,4.55,3,5,2,1,1.8,2.2
144,Indirect,21,4,2,1,pre,4.2,3,4.7,1,5.75,4,1,2.2,1.6
144,Indirect,21,4,2,1,post,4.2,3.3333333333333335,5.5,1,6.375,4,3,1.45,1.4
145,Control,20,2,1,1,pre,3.4,3,3.95,4,5.5,5,1,2.85,2.6
145,Control,20,2,1,1,post,3,3,3.5,4,5.625,5,1,2.55,2.8
146,Direct,30,2,1,1,pre,2.6,3.3333333333333335,4.05,5,5,2,1,1.7,1.6
146,Direct,30,2,1,1,post,3.2,3.3333333333333335,4.3,4,4.875,1,1,1.8,1.2
147,Indirect,21,2,2,1,pre,3.8,4,4.1,4,6,2,3,1.7,1.2
147,Indirect,21,2,2,1,post,3.8,3.6666666666666665,4.55,3,6.125,2,2,1.8,1.4
148,Control,18,1,2,1,pre,1.6,2.3333333333333335,3.15,3,4.75,5,5,3.4,2
148,Control,18,1,2,1,post,1.6,3.6666666666666665,3.7,4,5.5,4,4,2.9,1.2
149,Direct,19,2,2,2,pre,3,4.333333333333333,5.25,2,5.875,2,1,1.15,1.2
149,Direct,19,2,2,2,post,3.2,4.666666666666667,5.35,2,6,1,1,1.05,1.2
150,Indirect,23,4,2,1,pre,2.6,4,4.05,2,5.375,3,2,2.5,1.8
150,Indirect,23,4,2,1,post,2.8,4,4,2,5.375,2,2,2.2,1.6
151,Control,18,1,2,2,pre,3.8,3.6666666666666665,4.7,2,5.5,3,1,1.5,1.8
151,Control,18,1,2,2,post,3.6,3.6666666666666665,4.7,2,5.25,3,1,1.4,1.6
152,Direct,19,2,2,1,pre,3.6,3.6666666666666665,5.05,1,6.125,4,2,1.5,1.6
152,Direct,19,2,2,1,post,3.6,4,5.1,1,5.75,3,4,1.3,1.2
153,Indirect,19,2,2,1,pre,3.4,3.6666666666666665,5.25,3,6.25,3,1,1.65,1.6
153,Indirect,19,2,2,1,post,3.6,4,5.35,2,6.25,2,1,1.5,1.2
154,Control,23,3,1,1,pre,3.2,4.666666666666667,5.05,2,5.875,2,3,1.6,2.6
154,Control,23,3,1,1,post,3.2,4.333333333333333,4.9,2,6,2,2,1.65,2.6
155,Direct,18,1,1,1,pre,2.8,3.3333333333333335,4.75,4,5.875,2,1,2.15,1.8
155,Direct,18,1,1,1,post,3.2,3.6666666666666665,4.473684210526316,3,5.625,1,1,1.95,1
156,Indirect,21,4,1,2,pre,3.2,3.3333333333333335,4.1,3,5.375,4,4,2.4,2.4
156,Indirect,21,4,1,2,post,3.4,4,4.15,3,5.375,4,3,2.15,2
157,Control,18,1,2,1,pre,2.8,2.3333333333333335,2.65,5,4,5,3,3.05,3
157,Control,18,1,2,1,post,2.6,2.3333333333333335,2.9,5,4,5,4,3.1,2.8
158,Direct,20,3,2,1,pre,2.6,4.333333333333333,3.8,4,6,4,4,2.65,1.8
158,Direct,20,3,2,1,post,2.8,4.666666666666667,4.2631578947368425,2,6.25,2,1,2.35,1.8
159,Indirect,18,1,2,1,pre,4.6,4,3.45,2,5.75,3,3,3.05,2
159,Indirect,18,1,2,1,post,4.2,4,3.35,2,5.75,2,1,2.75,1
160,Control,23,4,2,1,pre,3.6,3.3333333333333335,4.25,3,5.5,4,1,2,1.4
160,Control,23,4,2,1,post,3.6,4,4.25,2,5.875,3,2,2.15,1.2
161,Direct,18,1,1,1,pre,3.8,3.6666666666666665,4.7,3,6.5,3,1,1.55,2.2
161,Direct,18,1,1,1,post,2,3.3333333333333335,5,3,6.375,2,1,1.6,1.6
162,Indirect,19,2,2,1,pre,2.8,3.6666666666666665,3.75,3,5.375,3,1,2.4,1.6
162,Indirect,19,2,2,1,post,2.6,4,3.8,3,5.25,1,1,2.25,1.4
163,Control,18,1,2,1,pre,2.8,2.3333333333333335,2.85,4,4.5,4,1,3.15,1.2
163,Control,18,1,2,1,post,3.4,2.3333333333333335,2.95,5,4.5,3,1,2.9,1
164,Direct,20,3,2,1,pre,4,3.3333333333333335,4.65,3,6.5,5,2,1.65,2.2
164,Direct,20,3,2,1,post,4.2,3.3333333333333335,5.05,2,6.5,2,1,1.5,1.8
165,Indirect,18,1,2,1,pre,3.4,3,4.95,2,6.125,4,3,1.8,1.8
165,Indirect,18,1,2,1,post,4,3.6666666666666665,5.3,2,6.125,3,2,1.55,1
166,Control,19,1,2,1,pre,2.8,3,4.45,2,5.625,4,5,1.75,2
166,Control,19,1,2,1,post,2.8,2.6666666666666665,4.85,3,5.75,5,5,2.1,2.2
167,Direct,19,1,2,1,pre,3.6,3.6666666666666665,5.05,3,6.375,3,2,1.9,2
167,Direct,19,1,2,1,post,4,4,5.05,2,6.625,2,2,1.65,1.8
168,Indirect,18,1,2,1,pre,2.4,1.6666666666666667,5.15,2,5,4,5,1.6,1.2
168,Indirect,18,1,2,1,post,3.2,2.6666666666666665,5.625,2,6.375,1,3,1.15,1
169,Control,19,1,2,1,pre,3.2,2.3333333333333335,3.6,4,5,3,4,2.526315789473684,2.4
169,Control,19,1,2,1,post,3.2,2.3333333333333335,3.5,4,5.5,3,4,2.75,2.2
170,Direct,19,2,2,1,pre,2.6,4,4.6,3,5.875,3,4,2.25,2.6
170,Direct,19,2,2,1,post,2.2,4.333333333333333,4.75,2,5.875,1,3,1.75,1.2
171,Indirect,24,4,1,1,pre,3,3.6666666666666665,3.8,2,6.25,2,1,2.5,1.4
171,Indirect,24,4,1,1,post,2.6,3.6666666666666665,3.7,2,6.125,1,1,2.4,1
172,Control,19,2,2,1,pre,1.8,2.3333333333333335,3.3,3,5.125,3,4,2.7,2
172,Control,19,2,2,1,post,2,2.6666666666666665,3.55,3,5.25,4,4,2.45,2
173,Direct,19,1,2,1,pre,4.6,5,4.95,2,6.5,2,3,1.6,1.4
173,Direct,19,1,2,1,post,4.6,5,5.05,3,6.5,1,2,1.5,1.2
174,Indirect,19,1,1,1,pre,3,3,4.7,2,5.25,4,1,2.1,3.8
174,Indirect,19,1,1,1,post,2.75,3,4.25,3,5.625,4,1,2.35,4.4
175,Control,19,1,1,1,pre,3.2,3.3333333333333335,3.85,2,5.375,4,1,2.4210526315789473,3.4
175,Control,19,1,1,1,post,3,3,3.65,3,4.625,4,1,2.7,4.4
176,Direct,18,1,2,1,pre,3.6,3.6666666666666665,4.75,2,5.625,1,3,2.15,2.2
176,Direct,18,1,2,1,post,3.6,3.6666666666666665,4.7,2,5.25,1,3,2.2,2
177,Indirect,19,2,2,1,pre,3.2,4.333333333333333,5.35,2,5.875,2,1,1.55,2.4
177,Indirect,19,2,2,1,post,2.4,4.666666666666667,5.55,2,6.125,2,1,1.15,2
178,Control,21,4,2,1,pre,2.4,2.3333333333333335,3.9,3,4.625,4,1,1.65,2.6
178,Control,21,4,2,1,post,2.8,2.6666666666666665,4.25,3,5.125,2,1,1.55,2.6
179,Direct,21,3,2,1,pre,3.4,3.6666666666666665,5.1,2,6.125,4,2,1.45,2.4
179,Direct,21,3,2,1,post,3.8,3.6666666666666665,5.2,2,6.125,2,2,1.4,1.6
180,Indirect,21,3,1,1,pre,3.6,3.3333333333333335,4.3,2,5.5,4,1,2.3,2.8
180,Indirect,21,3,1,1,post,4,3.3333333333333335,4.15,2,5.625,3,1,2.1,2.6
181,Control,19,2,2,1,pre,3.8,4.666666666666667,5.35,2,6,3,2,1.7,1.4
181,Control,19,2,2,1,post,3.8,4.333333333333333,5.55,2,6.125,2,3,1.4,1.2
182,Direct,19,2,2,1,pre,3.2,3.3333333333333335,4.75,3,6,4,2,1.6,2.6
182,Direct,19,2,2,1,post,3.4,3.3333333333333335,4.85,3,6,2,2,1.8,2
183,Indirect,25,5,1,1,pre,4.4,4.333333333333333,5.2,4,7,2,1,1.55,1.2
183,Indirect,25,5,1,1,post,5,4.333333333333333,5.35,3,7,2,1,1.55,1
184,Control,21,4,1,1,pre,2.2,1.6666666666666667,4.05,4,5.125,4,2,2.25,1.2
184,Control,21,4,1,1,post,1.4,2,3.9,4,5.25,4,3,2.4,1.4
185,Direct,20,2,1,1,pre,3.8,3.3333333333333335,4.85,2,5.625,3,1,2,2
185,Direct,20,2,1,1,post,3.6,3.3333333333333335,5.05,1,5.875,2,1,1.6,1
186,Indirect,19,2,2,2,pre,3.4,3.6666666666666665,5.3,1,6,4,3,1.9,2
186,Indirect,19,2,2,2,post,3.8,4.666666666666667,5.85,1,6.75,2,5,1.35,1.2
187,Control,22,4,2,1,pre,2.6,2.6666666666666665,3.75,4,4.375,3,4,2,1.6
187,Control,22,4,2,1,post,3,2.6666666666666665,3.6,4,4.75,2,4,2.3,1.4
188,Direct,20,4,2,1,pre,1.2,1.3333333333333333,1.6,4,2.75,4,3,3.4,3.4
188,Direct,20,4,2,1,post,2.4,3,3.6,2,3.5,2,1,2.45,1.2
189,Indirect,21,4,1,1,pre,3,3,5,3,6,3,1,1.75,1.4
189,Indirect,21,4,1,1,post,2.6,3.6666666666666665,5,3,6.25,1,1,1.55,1
190,Control,18,1,2,1,pre,3.4,3.3333333333333335,4.7,2,5.25,3,3,1.65,2.4
190,Control,18,1,2,1,post,3.4,3.6666666666666665,4.95,2,5.375,2,3,1.8,2.2
191,Direct,22,4,1,1,pre,3.6,3.6666666666666665,4.55,4,6.25,4,1,1.9,1.8
191,Direct,22,4,1,1,post,3.6,4,4.8,3,6.5,2,1,1.75,1
192,Indirect,18,1,2,1,pre,3.8,3.3333333333333335,4.65,2,5.875,4,3,2,1.8
192,Indirect,18,1,2,1,post,3.6,4,4.4,3,5.5,3,3,1.9,1.4
193,Control,21,3,1,1,pre,4.6,3.6666666666666665,4.65,4,6,4,1,2.1,1.4
193,Control,21,3,1,1,post,4.6,3.6666666666666665,5.2,3,5.875,3,1,1.85,1.2
194,Direct,23,4,1,1,pre,2.6,3.3333333333333335,5.45,1,6.375,4,1,1.75,2.4
194,Direct,23,4,1,1,post,2.6,3.3333333333333335,5.45,1,6.625,2,1,1.5,1.4
195,Indirect,22,3,1,1,pre,3.2,4.333333333333333,4.7,3,6.125,4,1,1.8,2.2
195,Indirect,22,3,1,1,post,3,4.333333333333333,4.75,3,6.125,4,1,2.2,2.6
196,Control,24,5,1,1,pre,3,3.6666666666666665,4.8,2,5.875,4,1,1.7,1.2
196,Control,24,5,1,1,post,2.6,3.3333333333333335,4.2,2,5,4,1,1.9,1.8
197,Direct,19,2,2,1,pre,2.6,3.6666666666666665,5.05,4,6.125,2,1,1.8,1
197,Direct,19,2,2,1,post,2.4,4,5.25,2,6.5,1,1,1.7,1
198,Indirect,20,2,2,2,pre,3.2,4.333333333333333,4.45,2,5.625,2,3,1.85,1.2
198,Indirect,20,2,2,2,post,1.8,4.333333333333333,4.15,2,5.875,3,4,2,1.8
199,Control,19,2,2,3,pre,4,3.6666666666666665,4.7,1,5.875,3,2,1.55,2.6
199,Control,19,2,2,3,post,3.6,3.6666666666666665,5.1,1,5.625,3,1,1.6,2.2
200,Direct,22,1,2,2,pre,1.6,2.3333333333333335,3.9,3,5.375,3,1,2.45,3
200,Direct,22,1,2,2,post,2.4,2.6666666666666665,3.210526315789474,3,4.75,3,1,2.75,1.6
201,Indirect,28,5,1,1,pre,2.8,2.3333333333333335,3.5,3,5,3,1,2.5789473684210527,2
201,Indirect,28,5,1,1,post,3,3,3.6,3,4.75,1,1,2.55,1.2
202,Control,21,3,2,1,pre,2.6,2.6666666666666665,4.2,1,6,3,1,1.9,1.2
202,Control,21,3,2,1,post,1.6,2.6666666666666665,4.5,2,5.625,3,1,2.05,1.2
203,Direct,19,1,2,1,pre,4.2,3.3333333333333335,3.85,2,4.875,2,3,1.9,1
203,Direct,19,1,2,1,post,4.2,3.3333333333333335,3.6,2,5.5,1,1,1.75,1
204,Indirect,20,2,1,1,pre,3.8,2.6666666666666665,2.05,5,3.5,4,1,3.2,3
204,Indirect,20,2,1,1,post,3.8,2.6666666666666665,2.15,5,3.75,4,1,3.15,2.8
205,Control,18,1,2,2,pre,3,3.6666666666666665,3.6,3,4.125,4,2,1.9,3.4
205,Control,18,1,2,2,post,3.6,3.6666666666666665,3.7,3,4.5,2,1,1.9,3.2
206,Direct,19,2,2,1,pre,3.8,3.6666666666666665,5.05,2,6.125,4,1,1.55,1.8
206,Direct,19,2,2,1,post,4,3.6666666666666665,5.3,2,6.125,3,1,1.3,1.4
207,Indirect,20,2,1,1,pre,2.2,3,4.05,4,5.875,3,1,2.45,1.8
207,Indirect,20,2,1,1,post,2,3.6666666666666665,4.15,3,5.375,2,1,2.2,1
208,Control,19,2,2,1,pre,2,3,4.45,4,4.625,4,1,1.75,3.6
208,Control,19,2,2,1,post,2,2.6666666666666665,4.55,4,4.5,5,2,1.75,3
209,Direct,19,2,1,1,pre,3.2,4,5.157894736842105,2,6,1,1,1.15,1
209,Direct,19,2,1,1,post,3,4,5.1,2,6,1,1,1.05,1
210,Indirect,19,2,1,1,pre,3.8,4,5.15,3,6.625,2,1,1.631578947368421,1
210,Indirect,19,2,1,1,post,4.2,4.333333333333333,5.6,3,6.5,4,1,1.6,1.4
211,Control,18,1,2,2,pre,3.8,3.6666666666666665,4.5,2,6.5,5,3,2.1,1.8
211,Control,18,1,2,2,post,3.8,3.6666666666666665,4.5,2,6.5,4,4,1.9,1.4
212,Direct,21,2,1,1,pre,2.6,3.3333333333333335,3.95,5,5.625,3,1,2.3157894736842106,1.6
212,Direct,21,2,1,1,post,3.2,3.6666666666666665,4.45,5,5.5,1,1,2.3,1
213,Indirect,19,2,2,1,pre,3.2,2,5.15,1,5.625,4,1,1.5,1
213,Indirect,19,2,2,1,post,4.4,2.6666666666666665,5.8,1,6.25,2,1,1.3,1
214,Control,18,1,2,1,pre,1.8,2,3.2,4,4.5,3,2,2.95,2
214,Control,18,1,2,1,post,2,2.3333333333333335,3,4,4.5,3,2,2.85,2
215,Direct,21,2,2,1,pre,2.8,1.3333333333333333,3.05,4,5.25,4,3,2.9,2.6
215,Direct,21,2,2,1,post,2.8,2,3.1,3,5,2,2,2.55,1.8
216,Indirect,19,2,2,1,pre,3.8,2.3333333333333335,3.5,4,4.875,4,3,2.55,3.2
216,Indirect,19,2,2,1,post,3.2,2.6666666666666665,4.052631578947368,4,4.75,3,3,2.45,3
217,Control,19,1,2,1,pre,3.4,4.333333333333333,4.3,3,5.75,4,5,1.95,3.2
217,Control,19,1,2,1,post,3.8,4.666666666666667,4.55,2,6.875,2,3,2,2.8
218,Direct,18,1,2,2,pre,3.4,1.6666666666666667,2.25,4,3.75,3,4,3.25,3.8
218,Direct,18,1,2,2,post,3.4,2.6666666666666665,3.5,4,4.375,2,1,2.75,2.2
219,Indirect,19,1,2,2,pre,3.6,3,3.25,3,4.5,4,1,2.85,3.4
219,Indirect,19,1,2,2,post,3.2,2.6666666666666665,3.2,3,3.5,4,1,2.75,3.6
220,Control,19,2,1,1,pre,3.6,5,5.5,2,6.25,4,2,1.1,1.6
220,Control,19,2,1,1,post,3.6,5,5.75,2,6.375,4,2,1.1,1
221,Direct,20,2,2,1,pre,4,5,5.9,4,7,4,3,1.05,1.2
221,Direct,20,2,2,1,post,4,5,6,4,7,2,1,1,1
222,Indirect,19,2,1,1,pre,3.6,3.6666666666666665,5.35,1,7,2,1,1.3,1
222,Indirect,19,2,1,1,post,4.2,4,5.55,1,7,2,1,1,1
223,Control,21,4,2,1,pre,3.8,1.6666666666666667,5.1,2,6,4,3,1.8,2.2
223,Control,21,4,2,1,post,3.8,2.6666666666666665,5.35,2,6,3,3,1.8,2.2
224,Direct,21,2,1,1,pre,3.6,3.6666666666666665,5.15,3,5.75,2,1,1.55,1.2
224,Direct,21,2,1,1,post,4,4,5.35,1,5.75,1,1,1.4,1
225,Indirect,20,1,2,1,pre,3.8,2.6666666666666665,3.5,2,4.875,5,2,2.35,3.4
225,Indirect,20,1,2,1,post,3.2,3.3333333333333335,3.65,2,4.625,5,2,2.35,3.4
226,Control,22,4,2,1,pre,3.6,4.333333333333333,5.55,2,5.75,2,1,1.45,1.4
226,Control,22,4,2,1,post,3.4,4.666666666666667,5.7,2,6.25,2,1,1.25,1.4
227,Direct,21,4,2,1,pre,3.4,2.6666666666666665,4.4,3,5.125,4,2,2.15,2.8
227,Direct,21,4,2,1,post,3.4,2.6666666666666665,4.65,3,4.5,3,2,1.9,3
228,Indirect,18,1,1,1,pre,2.4,1.6666666666666667,3.1,4,4.875,4,1,2.6,2.4
228,Indirect,18,1,1,1,post,1.6,2.3333333333333335,3.4210526315789473,4,5.25,3,1,2.4,1
229,Control,19,2,2,2,pre,4.2,3.6666666666666665,5.05,2,5.625,5,3,1.2105263157894737,1.6
229,Control,19,2,2,2,post,4,3.6666666666666665,5.05,2,6,4,3,1.2,1.4
230,Direct,19,2,2,1,pre,3.4,3.6666666666666665,5.2,2,6,3,1,1.25,1.2
230,Direct,19,2,2,1,post,3,4.333333333333333,5.1,2,6.125,1,1,1.05,1.2
231,Indirect,19,1,2,1,pre,3.2,3.3333333333333335,4.45,2,5.625,3,3,1.9,2
231,Indirect,19,1,2,1,post,3,3.6666666666666665,4.95,2,6.125,2,3,1.55,1
232,Control,29,4,1,1,pre,4.2,4.333333333333333,4.85,5,6.75,3,2,2.4,2.6
232,Control,29,4,1,1,post,4.8,4.333333333333333,5.105263157894737,5,6.625,1,3,2.1578947368421053,1.6
233,Direct,21,4,2,1,pre,3.8,3.6666666666666665,5.3,1,6.375,4,2,1.6,1.6
233,Direct,21,4,2,1,post,2.6,3.6666666666666665,5.55,1,6.625,2,2,1.3,1
234,Indirect,19,2,2,1,pre,2.6,2,4.15,4,5.5,3,3,1.95,1.8
234,Indirect,19,2,2,1,post,2.8,2,4.25,3,5.5,2,2,2.6,1.2
235,Control,18,1,2,2,pre,4.6,4.333333333333333,5.45,1,6.5,3,1,1.6,1.6
235,Control,18,1,2,2,post,4.6,4.333333333333333,5.4,1,6.625,3,1,1.55,1.2
236,Direct,19,1,2,1,pre,2.6,3,3.45,3,5.25,5,4,2.75,2.8
236,Direct,19,1,2,1,post,3.2,4.333333333333333,4,1,5.375,2,2,2.15,1.6
237,Indirect,19,2,2,1,pre,4.2,4.666666666666667,5.4,1,6.125,3,1,1.65,1.2
237,Indirect,19,2,2,1,post,4,4.666666666666667,5.55,1,6.25,3,1,1.65,1
238,Control,20,2,2,1,pre,2,2,2.8,3,3,1,4,3.3,3.2
238,Control,20,2,2,1,post,1.8,2,2.9,3,3.25,1,4,2.95,2.2
239,Direct,19,2,1,1,pre,4,4,4.05,5,6.375,3,2,2.4,2
239,Direct,19,2,1,1,post,4.2,4.666666666666667,3.25,5,6.375,3,3,2.55,2.2
240,Indirect,19,2,2,1,pre,3.2,3.3333333333333335,4.8,2,6,2,1,1.7,1.4
240,Indirect,19,2,2,1,post,3.6,3.6666666666666665,4.7,1,6,2,1,1.75,1.4
241,Control,18,1,2,1,pre,2.6,3.6666666666666665,3.85,3,6,4,3,2.35,1.6
241,Control,18,1,2,1,post,2.4,3.6666666666666665,3.8,3,5.375,3,3,2.4,1.4
242,Direct,19,1,2,1,pre,3,2.3333333333333335,3.5,2,5.625,5,4,2.5,2
242,Direct,19,1,2,1,post,2.6,3.3333333333333335,4,2,5.75,3,3,2.15,1.8
243,Indirect,27,2,1,1,pre,2.8,3.6666666666666665,3.65,4,5.5,4,1,2.1,2.2
243,Indirect,27,2,1,1,post,2.6,3.6666666666666665,3.9,4,5.5,3,1,2.1,2.2
244,Control,21,3,1,1,pre,2.6,4.333333333333333,4.85,2,6.625,3,1,1.55,1.2
244,Control,21,3,1,1,post,3.4,5,5.25,2,6.5,1,1,1.5,1
245,Direct,21,3,2,1,pre,3.4,4.333333333333333,4.75,1,5.75,3,1,1.6,1.4
245,Direct,21,3,2,1,post,3.4,4.666666666666667,5.25,1,6.125,3,1,1.4,1
246,Indirect,20,2,1,1,pre,2.8,4.333333333333333,4.25,2,5.75,4,1,1.75,2
246,Indirect,20,2,1,1,post,3,3.6666666666666665,4.75,2,5.75,3,2,1.7,2.4
247,Control,23,3,2,1,pre,4.6,4.333333333333333,5.75,1,6.625,4,1,1.55,1.8
247,Control,23,3,2,1,post,4.2,4.666666666666667,5.75,1,6.5,2,1,1.3,1.6
248,Direct,20,2,1,1,pre,4,4.333333333333333,5.8,1,6.875,2,1,1.05,1.6
248,Direct,20,2,1,1,post,3.8,5,5.65,1,6.875,1,1,1.05,1.2
249,Indirect,21,3,1,1,pre,4.2,3,5.25,2,6.375,3,2,1.4,1.6
249,Indirect,21,3,1,1,post,4.8,3.6666666666666665,5.85,2,6.625,2,1,1.15,1.2
250,Direct,18,1,2,1,pre,3.6,3,4.35,4,5.25,4,3,2,1.8
250,Direct,18,1,2,1,post,3.4,3.6666666666666665,4.65,3,5.625,2,2,1.7,1
251,Indirect,19,1,1,1,pre,3.4,3.6666666666666665,5.1,3,6.5,5,1,1.35,2
251,Indirect,19,1,1,1,post,2.8,4,5.1,2,6.25,3,1,1.35,1.8
252,Control,19,1,1,1,pre,3.4,2,3.85,1,5.5,5,2,2.25,3.6
252,Control,19,1,1,1,post,3,2,3.95,4,6,5,1,2.15,3
253,Direct,19,1,2,1,pre,2.8,3.6666666666666665,4.55,2,5.875,3,1,1.75,1.6
253,Direct,19,1,2,1,post,3.2,4,4.45,2,5.875,3,1,1.5,1.8
254,Indirect,18,1,2,1,pre,4.2,3.6666666666666665,4.5,2,6.625,3,1,1.6,2.8
254,Indirect,18,1,2,1,post,4.2,3.6666666666666665,4.55,2,6.625,3,1,1.5,2.6
255,Control,19,2,2,1,pre,3.4,2.3333333333333335,3.15,3,5.5,4,1,2.9,3.2
255,Control,19,2,2,1,post,3.4,2.3333333333333335,2.75,3,5.125,4,1,3,3.4
256,Direct,19,1,2,1,pre,3.6,3.6666666666666665,3.9,3,5.75,1,3,2.65,1.2
256,Direct,19,1,2,1,post,3.8,3.6666666666666665,4.2,2,5.75,1,1,2.05,1.2
257,Indirect,20,2,1,1,pre,3.2,4.333333333333333,5.25,3,6.875,4,1,1.45,1.4
257,Indirect,20,2,1,1,post,3.6,5,5.7,2,6.875,2,1,1.15,1
258,Control,20,1,2,1,pre,2.8,5,5.45,1,6.5,2,3,1.25,1.2
258,Control,20,1,2,1,post,2.8,4.666666666666667,5.55,1,6.375,1,2,1.4,1
259,Direct,20,3,2,1,pre,3,3.3333333333333335,4.894736842105263,2,6,4,2,1.6,1.6
259,Direct,20,3,2,1,post,3.4,3.6666666666666665,5.2,2,6.25,3,1,1.3,1.2
260,Indirect,19,2,1,1,pre,3,3.3333333333333335,4.2,3,5.5,3,1,2.25,1.4
260,Indirect,19,2,1,1,post,2.8,3.3333333333333335,4.4,3,5.75,2,1,2.25,1
261,Control,36,3,2,1,pre,4.4,4.333333333333333,5.55,2,7,4,1,1.35,1.2
261,Control,36,3,2,1,post,4.8,4.666666666666667,5.35,2,7,2,1,1.2,1
262,Direct,22,3,2,1,pre,5,3.6666666666666665,5.4,1,6.375,3,1,1.65,1.8
262,Direct,22,3,2,1,post,5,4.333333333333333,5.6,1,6.625,1,1,1.4210526315789473,1.6
263,Indirect,19,1,2,1,pre,2.8,3.3333333333333335,4.8,2,5.5,4,2,1.75,1.6
263,Indirect,19,1,2,1,post,2.8,3.3333333333333335,4.9,2,5.625,4,2,1.85,1.6
264,Control,19,1,2,1,pre,3.2,4.333333333333333,5.1,2,6.125,4,3,1.5,1.4
264,Control,19,1,2,1,post,3.6,4.333333333333333,5.4,1,6,4,3,1.3,1.8
265,Direct,18,1,1,1,pre,3.8,3.6666666666666665,4.2,3,6.375,2,1,2.55,2.2
265,Direct,18,1,1,1,post,4.2,4.333333333333333,4.9,3,6.75,1,1,2.15,1.4
266,Indirect,18,1,1,1,pre,3,4,3.95,2,6.375,2,1,2.25,1.4
266,Indirect,18,1,1,1,post,2.8,4,3.8421052631578947,2,6.375,1,1,2.2,1.4
267,Control,19,2,2,1,pre,1.8,3.3333333333333335,4.65,3,5.375,5,4,2,1.6
267,Control,19,2,2,1,post,2.2,3.6666666666666665,4.9,3,6,3,2,1.65,1.2
268,Direct,20,2,2,1,pre,3.6,3.3333333333333335,2.35,4,5,3,4,3.5,1.8
268,Direct,20,2,2,1,post,3.8,4,2.95,3,5.625,2,2,2.85,1.2
269,Indirect,21,4,2,1,pre,4.2,3,3.9,5,5.5,4,4,2.4,1.4
269,Indirect,21,4,2,1,post,4.75,3.3333333333333335,3.95,4,5.625,2,4,2.4,1.5
270,Control,24,5,2,1,pre,2.8,3.6666666666666665,4.65,3,5.375,2,1,1.7,1.4
270,Control,24,5,2,1,post,2.8,3.6666666666666665,4.6,4,5.625,3,1,1.8,1.2
271,Direct,23,4,1,1,pre,4,2.3333333333333335,3.6,3,5.625,2,2,2.8,2
271,Direct,23,4,1,1,post,3.4,2.3333333333333335,3.55,3,5.875,1,2,2.5,1.4
272,Indirect,18,1,2,1,pre,3,2.3333333333333335,3.9,3,5.75,3,1,2.3,2.2
272,Indirect,18,1,2,1,post,3,3.3333333333333335,4.15,3,5.25,1,1,2.2,1
273,Control,19,2,2,1,pre,3.6,4,5.1,2,5.875,2,1,1.55,1.8
273,Control,19,2,2,1,post,3.8,4,5.05,1,5.75,1,1,1.55,1.6
274,Direct,18,1,1,1,pre,3.4,3.6666666666666665,4.25,2,5.75,3,2,2.1,2
274,Direct,18,1,1,1,post,3.4,3.6666666666666665,4.8,2,5.875,1,2,1.7,1.6
275,Indirect,20,2,1,1,pre,3.4,3.6666666666666665,5,2,6.125,4,2,1.95,2
275,Indirect,20,2,1,1,post,3.8,3.3333333333333335,5.15,2,6.125,3,4,1.75,2.2
276,Control,18,1,2,1,pre,4.4,3.6666666666666665,4.85,5,6.375,1,3,2.05,2.6
276,Control,18,1,2,1,post,4.6,4,5.3,4,6.75,1,3,1.8,1.8
277,Direct,19,2,2,1,pre,2,2,4.45,5,5,4,2,2.3,3.2
277,Direct,19,2,2,1,post,2.8,2,4.35,3,4.375,3,4,2.05,2.4
278,Indirect,19,2,2,1,pre,3.8,3.3333333333333335,4.1,3,5.125,3,4,2.4,1.4
278,Indirect,19,2,2,1,post,3.8,3.3333333333333335,3.6,3,5.125,3,4,2.2,1.2
